1000s_n1,danf,0,2003-11-01 00:00:00+00,n_plur_xmod_le,1000s,1000s,,,,,"1000",,,,,,,,,,,,,EN,US,,,,,1,LinGO,1
100s_n1,danf,0,2003-11-01 00:00:00+00,n_plur_xmod_le,100s,100s,,,,,"100",,,,,,,,,,,,,EN,US,,,,,1,LinGO,1
100s_n2,danf,0,2003-11-01 00:00:00+00,n_plur_ppcomp_oblig_le,100s,100s,,,,,"100",,_of_p_sel_rel,,,,,,,,,,,EN,US,,,,,1,LinGO,1
2001_a_space_odyssey_n1,danf,0,2003-11-01 00:00:00+00,n_proper_le,2001 a space odyssey,odyssey,,,,,"2001_a_space_odyssey",,,,,,,,,,,,,EN,US,,,,,1,LinGO,1
200s_n1,danf,0,2003-11-01 00:00:00+00,n_plur_xmod_le,200s,200s,,,,,"200",,,,,,,,,,,,,EN,US,,,,,1,LinGO,1
20s_n1,danf,0,2003-11-01 00:00:00+00,n_plur_xmod_le,20s,20s,,,,,"20",,,,,,,,,,,,,EN,US,,,,,1,LinGO,1
300s_n1,danf,0,2003-11-01 00:00:00+00,n_plur_xmod_le,300s,300s,,,,,"300",,,,,,,,,,,,,EN,US,,,,,1,LinGO,1
30s_n1,danf,0,2003-11-01 00:00:00+00,n_plur_xmod_le,30s,30s,,,,,"30",,,,,,,,,,,,,EN,US,,,,,1,LinGO,1
400s_n1,danf,0,2003-11-01 00:00:00+00,n_plur_xmod_le,400s,400s,,,,,"400",,,,,,,,,,,,,EN,US,,,,,1,LinGO,1
40s_n1,danf,0,2003-11-01 00:00:00+00,n_plur_xmod_le,40s,40s,,,,,"40",,,,,,,,,,,,,EN,US,,,,,1,LinGO,1
49er_n1,danf,0,2003-12-09 15:38:04.018797+00,n_intr_le,49er,49er,,"_49er_n_rel",,,,,,,,,,,,,,,,EN,US,,,,,1,TREC,1
500s_n1,danf,0,2003-11-01 00:00:00+00,n_plur_xmod_le,500s,500s,,,,,"500",,,,,,,,,,,,,EN,US,,,,,1,LinGO,1
50s_n1,danf,0,2003-11-01 00:00:00+00,n_plur_xmod_le,50s,50s,,,,,"50",,,,,,,,,,,,,EN,US,,,,,1,LinGO,1
600s_n1,danf,0,2003-11-01 00:00:00+00,n_plur_xmod_le,600s,600s,,,,,"600",,,,,,,,,,,,,EN,US,,,,,1,LinGO,1
60s_n1,danf,0,2003-11-01 00:00:00+00,n_plur_xmod_le,60s,60s,,,,,"60",,,,,,,,,,,,,EN,US,,,,,1,LinGO,1
700s_n1,danf,0,2003-11-01 00:00:00+00,n_plur_xmod_le,700s,700s,,,,,"700",,,,,,,,,,,,,EN,US,,,,,1,LinGO,1
70s_n1,danf,0,2003-11-01 00:00:00+00,n_plur_xmod_le,70s,70s,,,,,"70",,,,,,,,,,,,,EN,US,,,,,1,LinGO,1
